N;IMAGEN;DESCRIPCION;U.M;VR UNT PUBLICO;IVA19%;VR CON IVA;DTO%;VR DTO;PRECIO DESCUENTO % + IVA
1;;FAROL YUTONG DERECHO;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
2;;FAROL YUTONG IZQUIERDO;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
3;;FAROL INVICAR DERECHO;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
4;;FAROL INVICAR IZQUIERDO ;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
5;;FAROL INCONCAR OJO LUPA Y REGLETA LED DER;und;$294.118;$55.882;$350.000;6%;$17.647;$276.471
6;;FAROL INCONCAR OJO LUPA Y REGLETA LED IZQ;und;$294.118;$55.882;$350.000;6%;$17.647;$276.471
7;;FAROL BUSSCAR BUSETA DERECHO;und;$294.118;$55.882;$350.000;6%;$17.647;$276.471
8;;FAROL BUSSCAR BUSETA IZQUIERDO;und;$294.118;$55.882;$350.000;6%;$17.647;$276.471
9;;FAROL BUSSCAR BUS DERECHO;und;$672.269;$127.731;$800.000;6%;$40.336;$631.933
10;;FAROL BUSSCAR BUS IZQUIERDO;und;$672.269;$127.731;$800.000;6%;$40.336;$631.933
11;;FAROL PARADISO DERECHO;und;$231.092;$43.908;$275.000;6%;$13.866;$217.227
12;;FAROL PARADISO IZQUIERDO;und;$231.092;$43.908;$275.000;6%;$13.866;$217.227
13;;FAROL INCONCAR SIGMA DERECHO ;und;$546.218;$103.782;$650.000;6%;$32.773;$513.445
14;;FAROL INCONCAR SIGMA IZQUIERDO ;und;$546.218;$103.782;$650.000;6%;$32.773;$513.445
15;;FAROL ANDARE DERECHO;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
16;;FAROL ANDARE IZQUIERDO;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
17;;FAROL G7 DERECHO;und;$378.151;$71.849;$450.000;6%;$22.689;$355.462
18;;FAROL G7 IZQUIERDO;und;$378.151;$71.849;$450.000;6%;$22.689;$355.462
19;;ALETA DECORATIVA UNIDAD PARADISO IZQ;und;$37.815;$7.185;$45.000;6%;$2.269;$35.546
20;;ALETA DECORATIVA UNIDAD PARADISO DER;und;$37.815;$7.185;$45.000;6%;$2.269;$35.546
21;;FAROL NEW G7 DERECHO;und;$504.202;$95.798;$600.000;6%;$30.252;$473.950
22;;FAROL NEW G7 IZQUIERDO;und;$504.202;$95.798;$600.000;6%;$30.252;$473.950
23;;ALETA FAROL NEW G7 DERECHO;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
24;;ALETA FAROL NEW G7 IZQUIERDO;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
25;;EXPLORADORA NEW G7 DERECHA;und;$210.084;$39.916;$250.000;6%;$12.605;$197.479
26;;EXPLORADORA NEW G7 IZQUIERDA;und;$210.084;$39.916;$250.000;6%;$12.605;$197.479
27;;FAROL G8 FULL LED DERECHA 24V;und;$1.512.605;$287.395;$1.800.000;6%;$90.756;$1.421.849
28;;FAROL G8 FULL LED  IZQUIERDA 24V;und;$1.512.605;$287.395;$1.800.000;6%;$90.756;$1.421.849
29;;EXPLORADORA G8 NEW DERECHA;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
30;;EXPLORADORA G8 NEW IZQUIERDA;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
31;;FAROL AUDACE DERECHO;und;$399.160;$75.840;$475.000;6%;$23.950;$375.210
32;;FAROL AUDACE IZQUIERDO;und;$399.160;$75.840;$475.000;6%;$23.950;$375.210
33;;FAROL ATLANTIS DERECHO;und;$336.134;$63.866;$400.000;6%;$20.168;$315.966
34;;FAROL ATLANTIS IZQUIERDO;und;$336.134;$63.866;$400.000;6%;$20.168;$315.966
35;;FAROL ORION DERECHO;und;$294.118;$55.882;$350.000;6%;$17.647;$276.471
36;;FAROL ORION IZQUIERDO;und;$294.118;$55.882;$350.000;6%;$17.647;$276.471
37;;FAROL CARROCERIA LOGOS DERECHA;und;$504.202;$95.798;$600.000;6%;$30.252;$473.950
38;;FAROL CARROCERIA LOGOS IZQUIERDA;und;$504.202;$95.798;$600.000;6%;$30.252;$473.950
39;;FAROL MAXI IBIZA DERECHO ;und;$462.185;$87.815;$550.000;6%;$27.731;$434.454
40;;FAROL MAXI IBIZA IZQUIERDO ;und;$462.185;$87.815;$550.000;6%;$27.731;$434.454
41;;FAROL BORDE NEON MEGABUSES DER;und;$504.202;$95.798;$600.000;6%;$30.252;$473.950
42;;FAROL BORDE NEON MEGABUSES IZQ;und;$504.202;$95.798;$600.000;6%;$30.252;$473.950
43;;FAROL FASCCINO DERECHO ;und;$672.269;$127.731;$800.000;6%;$40.336;$631.933
44;;FAROL FASCCINO IZQUIERDO;und;$672.269;$127.731;$800.000;6%;$40.336;$631.933
45;;STOP G7 DERECHO;und;$399.160;$75.840;$475.000;6%;$23.950;$375.210
46;;STOP G7 IZQUIERDO;und;$399.160;$75.840;$475.000;6%;$23.950;$375.210
47;;STOP MAXI IBIZA GRANDE DERECHO;und;$399.160;$75.840;$475.000;6%;$23.950;$375.210
48;;STOP MAXI IBIZA GRANDE IZQUIERDO;und;$399.160;$75.840;$475.000;6%;$23.950;$375.210
49;;STOP MAXI IBIZA PEQUEÑO GENERICO DERECHO;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
50;;STOP MAXI IBIZA PEQUEÑO GENERICO IZQ/DO;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
51;;STOP INFERIOR G8 LED DERECHO;und;$823.529;$156.471;$980.000;6%;$49.412;$774.118
52;;STOP INFERIOR G8 LED IZQUIERDO;und;$823.529;$156.471;$980.000;6%;$49.412;$774.118
53;;CONJUNTO STOP G8 LED DERECHO;und;$1.260.504;$239.496;$1.500.000;6%;$75.630;$1.184.874
54;;CONJUNTO STOP G8 LED IZQUIERDO;und;$1.260.504;$239.496;$1.500.000;6%;$75.630;$1.184.874
55;;STOP SUPERIOR G8 LED DERECHO;und;$436.975;$83.025;$520.000;6%;$26.218;$410.756
56;;STOP SUPERIOR G8 LED IZQUIERDO;und;$436.975;$83.025;$520.000;6%;$26.218;$410.756
57;;STOP IBIZA DERECHO;und;$147.059;$27.941;$175.000;12%;$17.647;$129.412
58;;STOP IBIZA IZQUIERDO;und;$147.059;$27.941;$175.000;12%;$17.647;$129.412
59;;STOP AUDACE DERECHO;und;$399.160;$75.840;$475.000;6%;$23.950;$375.210
60;;STOP AUDACE IZQUIERDO;und;$399.160;$75.840;$475.000;6%;$23.950;$375.210
61;;STOP INCONCAR NEW SIGMA DERECHO;und;$462.185;$87.815;$550.000;6%;$27.731;$434.454
62;;STOP INCONCAR NEW SIGMA IZQUIERDO;und;$462.185;$87.815;$550.000;6%;$27.731;$434.454
63;;STOP FASCCINO DERECHO;und;$600.000;$114.000;$714.000;6%;$36.000;$564.000
64;;STOP FASCCINO IZQUIERDO;und;$600.000;$114.000;$714.000;6%;$36.000;$564.000
65;;STOP MAJESTIC JGB DERECHO;und;$588.235;$111.765;$700.000;6%;$35.294;$552.941
66;;STOP MAJESTIC JGB IZQUIERDO;und;$588.235;$111.765;$700.000;6%;$35.294;$552.941
67;;STOP ATLANTIS DERECHO ;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
68;;STOP ATLANTIS IZQUIERDO ;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
69;;STOP INCONCAR SIGMA P DERECHO;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
70;;STOP INCONCAR SIGMA P IZQUIERDO;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
71;;STOP MODASA  DER  ;und;$252.101;$47.899;$300.000;6%;$15.126;$236.975
72;;STOP MODASA  IZQ ;und;$268.908;$51.092;$320.000;6%;$16.134;$252.773
73;;STOP SUPERIOR PARADISO 1200 IZQ;und;$67.227;$12.773;$80.000;6%;$4.034;$63.193
74;;STOP SUPERIOR PARADISO 1200 DER;und;$67.227;$12.773;$80.000;6%;$4.034;$63.193
75;;STOP SUPERIOR ANDARE 1000 IZQ;und;$67.227;$12.773;$80.000;6%;$4.034;$63.193
76;;STOP SUPERIOR ANDARE 1000 DER;und;$67.227;$12.773;$80.000;6%;$4.034;$63.193
77;;STOP INDIVIDUAL PARADISO IZQ;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
78;;STOP INDIVIDUAL PARADISO DER;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
79;;LUZ REVERSA PARADISO IZQ;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
80;;LUZ REVERSA PARADISO DER;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
81;;LUZ REVERSA ANDARE IZQ;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
82;;LUZ REVERSA ANDARE DER;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
83;;LUZ LATERAL LED G7 PEQUEÑA;und;$16.807;$3.193;$20.000;12%;$2.017;$14.790
84;;LUZ LATERAL LED G7 TACON;und;$29.412;$5.588;$35.000;12%;$3.529;$25.882
85;;LUZ LATERAL LED G8 PLANA;und;$33.613;$6.387;$40.000;6%;$2.017;$31.597
86;;LUZ LATERAL LED G8 CON DIRECCIONAL;und;$40.000;$7.600;$47.600;6%;$2.400;$37.600
87;;DIRECCIONAL BRT TORINO DER;und;$80.000;$15.200;$95.200;6%;$4.800;$75.200
88;;DIRECCIONAL BRT TORINO IZQ;und;$80.000;$15.200;$95.200;6%;$4.800;$75.200
89;;STOP EN L BRT TORINO DER;und;$126.050;$23.950;$150.000;6%;$7.563;$118.487
90;;STOP EN L BRT TORINO IZQ;und;$126.050;$23.950;$150.000;6%;$7.563;$118.487
91;;STOP BOMPER G7 IZQUIERDO;und;$84.034;$15.966;$100.000;6%;$5.042;$78.992
92;;STOP BOMPER G7 DERECHO;und;$84.034;$15.966;$100.000;6%;$5.042;$78.992
93;;STOP BOMPER TRASERO NEW G8 DERECHO;und;$134.454;$25.546;$160.000;6%;$8.067;$126.387
94;;STOP BOMPER TRASERO NEW G8 IZQUIERDO;und;$134.454;$25.546;$160.000;6%;$8.067;$126.387
95;;ESQUINERO SUPERIOR TRASERA G7 IZQ;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
